"SurveyID"|"Longitude"|"Latitude"|"SurveyState"|"Last_Amended_Time"|"Species_Name"|"Observation"|"Measurement"|"Condition"|"Video"|"SurveyorID"|"Moderator_Comment"|"Score"|"Client_Reference"
1|"22.286234556677789"|"114.22345644456679"|"Draft"|"2022-05-21 11:12:46"|"African Tulip Tree"|"The tree almost fully blocks a road"|"Tree Height:8m Tree Width:5m"|"Excellent"|"avi1.mp4"|0|""|0|"A001"
2|"22.286505393830893"|"114.20155012629706"|"Published"|"2022-01-16 02:43:46"|"Chinese Albizia"|"Many branches are broken"|"Tree Height:5m Tree Width:6m"|"Poor"|"avi2.mp4"|2|"Excellent Record"|3|"A002"
3|"22.382559465898552"|"114.1188506670593"|"Approved"|"2021-11-21 00:00:00"|"Asoka, Common Saraca"|"Tree is attacking by pests"|"Tree Height:7m Tree Width:5m"|"Deteriorate"|"avi3.mp4i"|3|"To be arranged to save"|1|"A003"
4|"22.387162523402644"|"114.1266612594586"|"Approved"|"2021-11-22 00:00:00"|"White Azalea"|"Tree has many flowers"|"Tree Height:8m Tree Width:6m"|"Excellent"|"avi4.mp4"|4|"Urgent to handle"|2|"A004"
5|"22.38089280407539"|"114.12975116414403"|"Submitted"|"2021-11-30 00:00:00"|"Bald Cypress, Deciduous Cypress"|"Tree is covered with no sunshince get through"|"Tree Height:5m Tree Width:9m"|"Poor"|"avi5.mp4"|0|"Investigation"|0|"A005"
6|"22.376130803151526"|"114.12854953454412"|"Submitted"|"2021-11-01 00:00:00"|"Batavia Cinnamon, Cinnamon Tree"|"There is only a few leaves on the tree"|"Tree Height:4m Tree Width:10m"|"Normal"|"avi6.mp4"|0|"To be confirmed by tree doctor"|0|"A006"
7|"22.38121026500947"|"114.1161899158024"|"Rejected"|"2021-11-23 00:00:00"|"Brisbane Box"|"Many birds are living there"|"Tree Height:0m Tree Width:0m"|"Normal"|"avi7.mp4"|3|"Lack of main parameters"|0|"A007"
8|"22.38121026500947"|"114.12940784140119"|"Draft"|"2021-11-17 00:00:00"|"Buddhist Pine, Kusamaki"|"The tree is very strong"|"Tree Height:10m Tree Width:8m"|"Excellent"|"avi8.mp4"|0|""|0|"A008"
9|"22.376686378322564"|"114.11988063528779"|"Draft"|"2021-11-24 00:00:00"|"Burmese Rosewood"|"The tree is very likely to fall down under typhoon"|"Tree Height:7m Tree Width:3m"|"Danger"|"avi9.mp4"|0|""|0|"A009"
10|"22.385495916723663"|"114.14842550341349"|"Draft"|"2021-11-11 00:00:00"|"Camptotheca"|"There are many man-made object hang on the tree"|"Tree Height:8m Tree Width:9m"|"Normal"|"avi10.mp4"|0|""|0|"A010"
11|"7"|"43"|"Draft"|"2022-05-21 12:32:20"|"Chinese Alangium"|"dfa"|"dfasfd"|"Deteriorate"|""|0|""|0|""
